"ACTION","REWARD","A0","A1","A2","A3","V"
"3","0.0","-0.00846112","0.0162799","-0.0386234","0.00947609","0.0226667"
"2","0.0","-0.0102509","0.0265741","-0.0754612","0.0169723","0.0310824"
"0","0.0","-0.0113558","0.0377141","-0.0873434","0.0111076","0.0333939"
"3","0.0","-0.0132267","0.0503753","-0.0993111","3.5964e-05","0.0265633"
"3","0.0","-0.011796","0.056708","-0.108419","-0.00823845","0.0202982"
"1","0.0","-0.01011","0.0614019","-0.112995","-0.0157577","0.0124293"
"1","-1.0","-0.00603205","0.0617228","-0.117923","-0.014156","0.00283759"
"3","0.0","0.00498423","0.0589573","-0.11626","-0.0122352","-0.0284617"
"3","0.0","0.0115139","0.0584252","-0.112921","-0.0119086","-0.0548701"
"2","0.0","0.0150394","0.059306","-0.108569","-0.0122413","-0.0770187"
"1","1.0","0.00172176","0.0568686","-0.100821","-0.0180944","-0.0880993"
"0","0.0","-0.00485014","0.0570046","-0.101925","-0.0144194","-0.0991626"
"2","0.0","-0.0129933","0.0585664","-0.0920898","-0.0212537","-0.11188"
"0","0.0","-0.0213517","0.0654414","-0.0872094","-0.0214071","-0.127927"
"1","0.0","-0.0280772","0.081186","-0.0866903","-0.0202219","-0.130672"
"2","0.0","-0.032817","0.0846263","-0.0794614","-0.0202086","-0.142787"
"3","0.0","-0.0371975","0.0751038","-0.0760526","-0.00978222","-0.154013"
"0","0.0","-0.0402019","0.082715","-0.0703484","-0.0115097","-0.160079"
"3","0.0","-0.0424855","0.0979888","-0.0704134","-0.011699","-0.155246"
"1","0.0","-0.0460724","0.0957402","-0.0568916","-0.00478523","-0.148321"
"1","0.0","-0.0439574","0.09414","-0.0514434","-0.0107972","-0.152351"
"3","0.0","-0.039947","0.0929313","-0.0587083","-0.00413878","-0.151892"
"2","0.0","-0.03705","0.0842602","-0.0582687","-0.00373584","-0.144748"
"3","0.0","-0.0352424","0.0848601","-0.0642961","0.0012591","-0.146184"
"2","0.0","-0.0339018","0.077686","-0.0629942","0.000456301","-0.140424"
"1","0.0","-0.0331668","0.0794655","-0.0683866","0.00454138","-0.14288"
"2","0.0","-0.0321878","0.081138","-0.0762972","0.00831162","-0.148364"
"1","1.0","-0.0356583","0.0764233","-0.0729658","0.0166409","-0.158165"
"3","0.0","-0.042837","0.0626721","-0.0734467","0.0141474","-0.167211"
"1","0.0","-0.0415162","0.0555586","-0.0715702","0.010104","-0.17556"
"1","0.0","-0.0403717","0.0501118","-0.0701663","0.00685975","-0.18222"
"3","1.0","-0.0393241","0.0459143","-0.0693534","0.00426402","-0.187335"
"1","0.0","-0.045194","0.0508255","-0.0662476","-0.00716847","-0.180328"
"0","0.0","-0.0486906","0.054591","-0.0635452","-0.0150282","-0.175597"
"2","0.0","-0.047864","0.0589246","-0.0651312","-0.0186679","-0.170697"
"2","0.0","-0.0480796","0.0662594","-0.0713283","-0.0266256","-0.166674"
"1","0.0","-0.0508744","0.0699586","-0.0741988","-0.026636","-0.170159"
"3","0.0","-0.0518578","0.069618","-0.0687332","-0.027074","-0.169427"
"2","0.0","-0.0456388","0.0700232","-0.064847","-0.0287192","-0.166999"
"0","0.0","-0.0454317","0.0703063","-0.0615399","-0.0288692","-0.167624"
"3","0.0","-0.044668","0.0745195","-0.0660499","-0.0281448","-0.170962"
"1","0.0","-0.0408956","0.0801646","-0.0716458","-0.0334503","-0.166691"
"3","0.0","-0.0357988","0.0788429","-0.0669781","-0.0337664","-0.165453"
"0","0.0","-0.034853","0.0786186","-0.0629368","-0.0343555","-0.166002"
"2","0.0","-0.032006","0.0799034","-0.0636121","-0.0327307","-0.164858"
"3","0.0","-0.0317339","0.0847075","-0.0692451","-0.0368319","-0.163437"
"2","0.0","-0.0304847","0.0847537","-0.0685356","-0.0345456","-0.1631"
"3","0.0","-0.0311086","0.0886901","-0.0731245","-0.0382059","-0.162069"
"1","0.0","-0.0303916","0.0881118","-0.0716817","-0.0355366","-0.161992"
"0","0.0","-0.0325337","0.0865641","-0.0657983","-0.0350253","-0.163984"
