"ACTION","REWARD","A0","A1","A2","A3","V"
"3","0.0","-0.0147918","0.011177","-0.0115967","0.0114678","0.020694"
"3","0.0","-0.0301561","0.0104332","-0.0164242","0.0205088","0.0332317"
"0","0.0","-0.0400955","0.00851987","-0.0132644","0.0137975","0.043719"
"3","0.0","-0.0421022","0.00498616","-0.0229697","0.0279557","0.0512696"
"3","0.0","-0.0409949","0.00573038","-0.0296015","0.0347565","0.0505216"
"3","0.0","-0.0399691","0.0037237","-0.0351942","0.0383819","0.050009"
"2","0.0","-0.0364236","0.00484975","-0.0384553","0.0373926","0.0465934"
"3","0.0","-0.0365092","0.00321133","-0.0417327","0.0401668","0.0476309"
"3","0.0","-0.0339152","0.0046045","-0.0432224","0.0386681","0.0453026"
"3","0.0","-0.0351395","0.00293619","-0.0449527","0.0411353","0.0486483"
"3","0.0","-0.0361531","0.00176894","-0.046056","0.0427443","0.0508158"
"0","0.0","-0.036941","0.000920585","-0.0467719","0.0437846","0.0521772"
"3","0.0","-0.0375291","0.000280417","-0.0472482","0.0444453","0.0529967"
"3","0.0","-0.0379558","-0.000218493","-0.0475738","0.0448517","0.0534596"
"1","0.0","-0.0382597","-0.000616919","-0.0478012","0.0450875","0.0536935"
"3","0.0","-0.0363039","0.000129464","-0.0509111","0.0449294","0.0510009"
"3","0.0","-0.0349654","0.000600427","-0.0531308","0.0450572","0.0491766"
"3","0.0","-0.0340841","0.000897856","-0.0546982","0.0453209","0.0479456"
"3","0.0","-0.0335374","0.00108328","-0.0557945","0.045634","0.0471291"
"3","0.0","-0.0332293","0.00119343","-0.0565551","0.0459477","0.046605"
"3","0.0","-0.0330856","0.00125089","-0.0570795","0.0462358","0.0462863"
"0","0.0","-0.0330509","0.00127015","-0.0574403","0.0464862","0.0461099"
"3","0.0","-0.0352543","0.000191857","-0.0547412","0.0469744","0.0488131"
"3","0.0","-0.0368165","-0.000573371","-0.0528072","0.0470602","0.0506268"
"3","0.0","-0.0378967","-0.0011322","-0.0514394","0.0469237","0.0518379"
"3","0.0","-0.0386186","-0.00154956","-0.0504815","0.0466743","0.0526321"
"3","0.0","-0.0390802","-0.00186471","-0.0498153","0.0463785","0.0531352"
"3","0.0","-0.0393573","-0.0021023","-0.049353","0.0460762","0.0534352"
"3","0.0","-0.0395076","-0.0022788","-0.0490305","0.0457902","0.0535956"
"3","0.0","-0.0395737","-0.00240624","-0.0488023","0.0455326","0.0536627"
"3","0.0","-0.0395864","-0.00249408","-0.0486363","0.0453088","0.0536699"
"3","0.0","-0.0395671","-0.00255017","-0.0485107","0.0451199","0.0536412"
"3","0.0","-0.0395304","-0.00258131","-0.0484109","0.0449646","0.0535933"
"3","0.0","-0.0394857","-0.00259328","-0.0483276","0.04484","0.0535375"
"3","0.0","-0.0394391","-0.00259111","-0.0482549","0.0447427","0.053481"
"3","0.0","-0.039394","-0.00257893","-0.0481896","0.0446689","0.053428"
"3","0.0","-0.0393522","-0.00256023","-0.0481294","0.0446147","0.0533811"
"3","0.0","-0.0393147","-0.0025377","-0.0480736","0.0445765","0.0533409"
"3","0.0","-0.0392816","-0.00251347","-0.0480217","0.0445512","0.0533076"
"3","0.0","-0.0392529","-0.0024891","-0.0479734","0.0445359","0.0532808"
"3","0.0","-0.0392281","-0.0024657","-0.0479287","0.0445283","0.0532596"
"3","0.0","-0.0392069","-0.00244397","-0.0478877","0.0445262","0.0532432"
"3","0.0","-0.0391888","-0.00242438","-0.0478502","0.0445279","0.0532308"
"3","0.0","-0.0391735","-0.0024071","-0.0478162","0.0445323","0.0532216"
"3","0.0","-0.0391606","-0.00239217","-0.0477856","0.0445382","0.0532149"
"3","0.0","-0.0391497","-0.00237951","-0.0477583","0.0445449","0.0532102"
"3","0.0","-0.0391406","-0.00236894","-0.047734","0.0445518","0.0532069"
"3","0.0","-0.039133","-0.00236027","-0.0477126","0.0445585","0.0532047"
"3","0.0","-0.0391267","-0.00235326","-0.0476938","0.0445647","0.0532033"
"3","0.0","-0.0391215","-0.00234769","-0.0476773","0.0445704","0.0532025"
